Internal ID,Vendor ID,SMILES,CollectionName,h_ppb
Mol107,393408,CNC(=O)C1(Cc2ccc(-c3cccnc3)cc2)CCN(Cc2ccc(F)cc2)C1,emolecules,1.021602716
Mol108,393424,CNC(=O)C1(Cc2ccc(-c3cccnc3)cc2)CCN(Cc2cccc(F)c2)C1,emolecules,0.829753919
Mol109,182435411,CC(=O)Nc1ncc(CN2CCCC[C@@H]2C)s1,emolecules,2.0
Mol110,270775,O=C1CCCC[C@@H]2[C@H](C[C@@H](Cc3ccccc3F)N2C(=O)c2cccc3ncccc23)N1,emolecules,1.277998644
Mol111,MCULE-3611790330,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,mcule,0.106870544
Mol112,323968411,CC(O)(C#Cc1ccc2c(c1)N(c1nc(N)ncc1Cl)CC2)c1nccs1,emolecules,-0.122628654
Mol113,46088801,COCCc1noc(CN2CC(c3ccccc3)(c3ccccc3)CCC2=O)n1,emolecules,1.167051359
Mol114,44392699,Cc1[nH]nc2c1C1(CCCCC1)CC(=O)N2,emolecules,1.323066376
Mol115,49942166,Cc1oc2ccccc2c1CNc1nnc(-c2ccncc2)o1,emolecules,0.717254313
Mol116,4768067,O=C(Nc1cccc2ncccc12)[C@H]1CCCN(S(=O)(=O)c2ccccc2)C1,emolecules,1.222560409
Mol117,11002413,C[C@@H]1Cc2ccccc2N1C(=O)Cn1nc(-c2cccc3ncccc23)oc1=O,emolecules,0.224014811
Mol118,29371307,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,emolecules,0.862608364
Mol119,320368312,O=C(Nc1cnccc1-c1ccc(Cl)cc1)c1ccnc(NC(=O)C2CC2)c1,emolecules,0.369957607
Mol120,89942274,CN1C(N)=N[C@](C)(c2cc(NC(=O)c3ccc(F)cn3)ccc2F)CS1(=O)=O,emolecules,1.560468571
Mol121,44550372,CC1CN(C(=O)c2cccnc2N2CCOCC2)CC(c2ccccc2)O1,emolecules,1.573185017
Mol122,511449,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,emolecules,0.439332694
Mol123,197915,Cc1cc(Nc2cnccn2)cc(C2CCCN(CC(=O)N3CCCC3)C2)n1,emolecules,1.642246824
Mol124,198953,Cc1cccnc1Nc1cccc(C2CCCN(CC(=O)Nc3nccs3)C2)n1,emolecules,0.180699201
Mol125,139135,CN(C)C(=O)C1(Cc2ccccc2-c2ccccc2)CCN(C(=O)c2cnn(C)c2)CC1,emolecules,1.041353202
Mol126,2566233,CC1(C)CC(=O)C2=C(C1)NC(=O)CC2c1ccc(Br)cc1,emolecules,1.159236233
Mol127,49383448,CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4cccnc4)n3)cc2)CC1,emolecules,1.078638038
Mol128,393410,CNC(=O)C1(Cc2ccc(-c3cccnc3)cc2)CCN(Cc2ccccc2Cl)C1,emolecules,0.387567779
Mol129,176509,Cc1cc(N2CCCC2c2cc(CCC(=O)O)cc(C)n2)ncn1,emolecules,2.0
Mol130,535781,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,emolecules,0.969835093
Mol131,150211,O=C(CN1CCCC(c2cccc(Cc3cccc(F)c3)n2)C1)N1CCCC1,emolecules,1.062130535
Mol132,32232846,COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC,emolecules,0.994317153
Mol133,6795908,Cc1cc(C)c2c(N)c(C(=O)NCc3ccc(Cl)cc3)sc2n1,emolecules,-0.370590401
Mol134,215355,COCCNC(=O)c1ccnc(C2CCNCC2)c1,emolecules,2.0
Mol135,28305598,COc1nc2sc(C(=O)NC3CC3)c(N)c2c(C)c1Cl,emolecules,0.245512668
Mol136,175109,CC1(CNC(=O)c2cncc(C3CCNCC3)n2)CCCO1,emolecules,1.988550039
Mol137,174073,Cc1cc(N2CCCC2)nc(C2CCCN(C)C2)n1,emolecules,2.0
Mol138,31507508,O=C1NCCSc2c1sc1ccc(O)cc21,emolecules,0.891593204
Mol139,170739766,CCn1cc(C(=O)O)c(=O)c2c(N)c(F)c(NC3CCCCC3)cc21,emolecules,0.427486109
Mol157,104336645,C[C@H]1CN(C2COC2)CCN1c1ccc(Nc2cc(-c3ccnc(N4CCn5c(cc6c5CC(C)(C)C6)C4=O)c3CO)cn(C)c2=O)nc1,emolecules,1.209139536
Mol161,49424084,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(Oc4ccnc(C(=O)NC)c4)cc3)ncc2F)c1,emolecules,-0.403402904
Mol162,320405235,C=CC(=O)N(C)CCOc1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2F)c1C,emolecules,0.838502776
Mol163,72972951,CC#CC(=O)N1CCC[C@@H]1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12,emolecules,0.975868182
Mol165,313519451,CC(=O)NCCNc1cc(Cl)nn2c(-c3cccc(S(=O)(=O)N(C)C)c3)c(C)nc12,emolecules,0.681693392
Mol166,35732653,Cc1c[nH]c(=O)n1-c1ccc(C(=O)Nc2ccc3ccccc3n2)cc1,emolecules,0.639386869
Mol167,42768719,CNC(=O)c1cccc(NC(=O)N2CCC(Oc3ccccc3Cl)CC2)c1,emolecules,1.068760828
Mol168,11480017,COc1ccc(OCC(=O)Nc2cccc(Cl)c2N2CCN(C(C)=O)CC2)cc1,emolecules,0.700790221
Mol169,2057338,c1ccc(-c2ccc(CN3CCCCCCC3)cc2)cc1,emolecules,-0.614393726
Mol170,11480019,CC(=O)N1CCN(c2c(Cl)cccc2NC(=O)COc2ccccc2Cl)CC1,emolecules,0.256958153
Mol171,1525474,CCC(=O)N1CCN(c2ccc(Cl)cc2NC(=O)COc2ccccc2)CC1,emolecules,0.250420002
Mol172,44014989,Cc1ccc(Oc2ccc(Cl)cc2NC(=O)CN(C)CC(=O)N(C)C)cc1,emolecules,-0.053056729
Mol3057,324053897,CC1(C)Cc2cc(NC(=O)c3cnn4cccnc34)c(OCC3CC3)nc2O1,emolecules,-0.199970641
Mol3058,324071116,N#Cc1cc(F)c(NS(=O)(=O)c2c[nH]c3cc(Cl)ccc23)cc1F,emolecules,-0.026872146
Mol3063,104664531,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(O)c5cccc(OC)c5nc34)cc1)CC2,emolecules,-1.207608311
Mol3067,15987806,CCCc1nc2nc(C)c(NS(=O)(=O)c3ccc(C4CCCCC4)cc3)c(O)n2n1,emolecules,-0.218963061
Mol3068,316754033,COc1ccc([C@H]2c3[nH]c4ccc(Cl)cc4c3CCN2C(=O)Oc2ccc(Cl)cc2)cc1,emolecules,1.51293775
Mol3069,139727,NC(=O)C1(Cc2ccc(-c3ccncc3)cc2)CCN(C(=O)Cc2cccc(F)c2)CC1,emolecules,1.006508828
Mol3070,474380,CC(=O)Nc1ccc(O)cc1,emolecules,1.887859133
Mol3071,301492332,O=C(NC1CCNCC1)c1ccc2[nH]ncc2c1,emolecules,1.842696589
Mol3072,36367041,Cc1cccc(/C=N/Nc2cc(N3CCOCC3)nc(OCCc3ccccn3)n2)c1,emolecules,-0.548213564
Mol3073,30599464,CCn1c(=O)oc2cc(NC(=O)c3ccc(C(C)(C)C)cc3)ccc21,emolecules,0.21005085
Mol3074,16382857,COc1ccc(OC[C@@H]2c3cc(OC)c(OC)cc3CCN2C(=O)c2cccc(Cl)c2)cc1,emolecules,-0.116906641
Mol3075,320359100,N#Cc1ccc(COc2cccc(C3CCN(Cc4nc5ccc(C(=O)O)cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,emolecules,0.402433346
Mol3076,8318595,CC(C)[C@H](CO)Nc1nc(Nc2cc(N)cc(Cl)c2)c2ncn(C(C)C)c2n1,emolecules,-0.061980903
Mol3077,315259678,O=C(NC1CCNCC1)c1ccc2cn[nH]c2c1,emolecules,2.0
Mol3078,26418448,CC(C)(C)OC(=O)N1CCCC1C(=O)N1CCC(C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)O)CC1,emolecules,1.691832676
Mol3079,1988603,O=C(Nc1cccc2c(=O)cc(-c3nnn[nH]3)oc12)c1ccc(OCCCCc2ccccc2)cc1,emolecules,0.582744966
Mol3080,28220722,CC(=O)Nc1ncc(C(=O)O)s1,emolecules,1.81935965
Mol3081,317459301,Cc1cccc(-c2nc(C34CCC(C(N)=O)(CC3)CC4)[nH]c2-c2ccc3c(c2)OCO3)n1,emolecules,1.02011257
Mol3082,44811278,COc1cc2nc(-c3cc(F)ccc3O)nc(N[C@@H]3CNC[C@H]3C(C)(C)O)c2cc1OC.Cl,emolecules,-1.119186408
Mol3083,50406362,CC(C)[C@@](C)(O)[C@@H]1CN(c2nc(-c3n[nH]c4ncccc34)c(F)cc2Cl)CCN1,emolecules,1.302460808
Mol3086,25041311,Cc1nnc(-c2ccc(N3CCC(Oc4cc(F)ccc4Cl)CC3)nn2)o1,emolecules,0.161068385
Mol3091,313833267,Cc1cn2nc(-c3cc(=O)n4cc(N5CCNC6(CC6)C5)ccc4n3)cc(C)c2n1,emolecules,0.985246791
Mol3092,32176418,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,emolecules,-1.59345982
Mol3093,171948773,Cc1ccc(OCC2(O)CCN(CC3(O)CCN(c4ccccc4C)CC3)CC2)cc1,emolecules,-0.040481623
Mol3094,301693590,CN(C(=O)c1cc(N2CCNC2=O)ccc1F)C1CCNC1,emolecules,1.885728632
Mol3095,316928211,O=C(Nc1cccc(N2CCNC2=O)c1)C1NCC12CCCC2,emolecules,1.718202645
Mol3096,301758325,NCC1CCCC1NC(=O)c1cc(N2CCNC2=O)ccc1F,emolecules,1.87495702
Mol3097,316875519,Cn1c(-c2n[nH]c3c2CCCC3)nnc1N1CCC2(CNC(=O)C2)C1,emolecules,1.792986685
Mol3098,317964046,Cc1nnc(-c2ccc(N3CCC(Oc4ccccc4C(F)(F)F)CC3)nn2)s1,emolecules,-0.906578315
Mol3099,17464371,O=C(NCCc1ccccc1)c1ccc(NC(=O)N2CCCCc3ccccc32)cc1,emolecules,0.075911761
Mol3100,24880306,CC(C)(C)c1ccc(C(O)CN2CCC(O)(c3ccc4c(c3)OCO4)CC2)cc1,emolecules,0.779018972
Mol3101,302506948,NC[C@H]1CC[C@@H](C(=O)Nc2ccc3[nH]ncc3c2)O1,emolecules,1.981999714
Mol3102,301817626,CN(C(=O)c1cc(N2CCNC2=O)ccc1F)C1CCC(N)CC1,emolecules,1.828717885
Mol3103,301949755,NC1CCCC1C(=O)N1CCC(c2c[nH]c3ncccc23)CC1,emolecules,1.71701274
Mol3104,MCULE-9833651829,NC1CCCC(C(=O)Nc2ccc3[nH]ncc3c2)C1,mcule,2.0
Mol3105,316789943,NC1CC(NC(=O)c2ccc(-c3cn[nH]c3)cn2)C12CCC2,emolecules,1.709702344
Mol3106,Z2380426119,NC1CCC(C(=O)N2CCC(c3c[nH]c4ncccc34)CC2)C1,enamineHTS,1.917395215
Mol3107,301949756,NC1CCCC(C(=O)N2CCC(c3c[nH]c4ncccc34)CC2)C1,emolecules,1.752816431
Mol3108,316779701,O=C(NC12CCCC1NCC2)c1ccc(-c2cn[nH]c2)cc1,emolecules,2.0
Mol3109,316786090,Cc1nc2cc(C(=O)NC34CCCC3NCC4)ccc2c(=O)[nH]1,emolecules,1.866494097
Mol3110,73014754,CNc1nc(C)cc(C(=O)Nc2ccc3[nH]ncc3c2)n1,emolecules,1.493625323
Mol3111,316949638,O=C(Nc1ccc(CN2CCCCC2)cc1)c1ccnc2[nH]cnc12,emolecules,1.767526899
Mol3112,316977624,CCc1c[nH]c2ncnc(N3CCC(CN4CCN(C)CC4)CC3)c12,emolecules,1.728012707
Mol3113,36987396,NC(=O)c1cnc(N2CCc3[nH]nc(C(F)(F)F)c3C2)c(Cl)c1,emolecules,0.986009932
Mol3114,MCULE-4852587261,NC1CCCC(C(=O)Nc2cccc(N3CCNC3=O)c2)C1,mcule,1.763113391
Mol3115,301928950,CC1CC(N)CCN1C(=O)c1cc(N2CCNC2=O)c(F)cc1F,emolecules,1.833504094
Mol3116,3615737,c1sc(NCC2CCCO2)nc1C12CC3CC(CC(C3)C1)C2,emolecules,-1.096910013
